endTime;valence;danceability
06/06/2022 22:27;0.756;0.746
06/06/2022 22:28;0.433;0.635
07/06/2022 17:34;0.756;0.746
07/06/2022 17:37;0.433;0.635
07/06/2022 17:40;0.524;0.631
07/06/2022 17:40;0.504;0.705
07/06/2022 17:43;0.965;0.74
07/06/2022 17:46;0.245;0.427
07/06/2022 18:41;0.472;0.289
07/06/2022 18:41;0.504;0.705
07/06/2022 18:44;0.433;0.635
07/06/2022 18:48;0.524;0.631
07/06/2022 18:52;0.504;0.705
07/06/2022 18:55;0.965;0.74
07/06/2022 18:57;0.245;0.427
07/06/2022 19:39;0.756;0.746
07/06/2022 19:44;0.524;0.631
07/06/2022 19:44;0.433;0.635
07/06/2022 19:44;0.504;0.705
07/06/2022 19:44;0.965;0.74
07/06/2022 19:44;0.245;0.427
07/06/2022 19:45;0.387;0.486
07/06/2022 19:45;0.472;0.289
07/06/2022 19:45;0.928;0.77
07/06/2022 19:46;0.387;0.486
07/06/2022 19:50;0.928;0.77
07/06/2022 19:54;0.425;0.592
07/06/2022 19:57;0.159;0.635
07/06/2022 19:57;0.437;0.674
07/06/2022 20:02;0.744;0.371
07/06/2022 22:54;0.646;0.435
07/06/2022 22:57;0.646;0.435
07/06/2022 22:58;0.531;0.425
07/06/2022 22:58;0.605;0.735
07/06/2022 23:02;0.408;0.384
07/06/2022 23:05;0.343;0.261
07/06/2022 23:05;0.605;0.735
07/06/2022 23:10;0.347;0.388
07/06/2022 23:14;0.888;0.636
08/06/2022 14:57;0.888;0.636
08/06/2022 15:03;0.814;0.664
08/06/2022 18:31;0.888;0.636
08/06/2022 18:34;0.888;0.636
08/06/2022 18:38;0.674;0.542
08/06/2022 18:39;0.822;0.419
08/06/2022 20:45;0.888;0.636
08/06/2022 20:47;0.655;0.641
08/06/2022 20:47;0.785;0.788
08/06/2022 20:47;0.408;0.626
08/06/2022 20:47;0.259;0.252
08/06/2022 20:47;0.888;0.636
08/06/2022 20:47;0.888;0.636
08/06/2022 20:48;0.744;0.45
08/06/2022 20:48;0.205;0.296
08/06/2022 20:48;0.744;0.45
08/06/2022 20:48;0.744;0.45
08/06/2022 20:50;0.571;0.593
08/06/2022 20:50;0.48;0.603
08/06/2022 20:50;0.48;0.603
08/06/2022 20:50;0.744;0.45
08/06/2022 20:55;0.283;0.374
10/06/2022 2:22;0.381;0.455
10/06/2022 2:30;0.188;0.386
10/06/2022 16:21;0.888;0.636
10/06/2022 16:23;0.655;0.641
10/06/2022 16:24;0.537;0.922
10/06/2022 16:28;0.866;0.797
10/06/2022 16:28;0.966;0.762
10/06/2022 16:31;0.519;0.274
10/06/2022 16:34;0.637;0.552
10/06/2022 16:38;0.501;0.552
10/06/2022 16:38;0.574;0.453
10/06/2022 16:39;0.722;0.641
10/06/2022 16:42;0.619;0.564
10/06/2022 16:46;0.594;0.483
10/06/2022 16:52;0.734;0.555
10/06/2022 16:57;0.31;0.446
10/06/2022 17:03;0.429;0.407
10/06/2022 17:04;0.443;0.363
10/06/2022 17:06;0.606;0.747
10/06/2022 18:24;0.606;0.747
10/06/2022 18:27;0.322;0.59
10/06/2022 18:30;0.822;0.758
10/06/2022 18:32;0.625;0.658
10/06/2022 18:36;0.471;0.588
10/06/2022 18:38;0.806;0.494
10/06/2022 18:41;0.937;0.582
10/06/2022 18:50;0.478;0.648
10/06/2022 18:54;0.539;0.476
11/06/2022 1:24;0.888;0.636
11/06/2022 1:26;0.888;0.636
11/06/2022 1:29;0.888;0.636
11/06/2022 1:34;0.604;0.6
11/06/2022 1:34;0.258;0.72
11/06/2022 1:35;0.961;0.612
11/06/2022 1:36;0.376;0.665
11/06/2022 1:36;0.784;0.635
11/06/2022 1:36;0.543;0.305
11/06/2022 1:36;0.563;0.804
11/06/2022 1:36;0.906;0.608
11/06/2022 1:40;0.744;0.45
11/06/2022 1:43;0.572;0.61
11/06/2022 1:43;0.579;0.561
11/06/2022 1:43;0.793;0.647
11/06/2022 1:47;0.774;0.693
11/06/2022 2:20;0.866;0.689
11/06/2022 2:20;0.924;0.546
11/06/2022 2:20;0.48;0.603
11/06/2022 2:21;0.571;0.593
11/06/2022 2:22;0.61;0.535
11/06/2022 19:53;0.322;0.419
11/06/2022 19:54;0.531;0.425
11/06/2022 20:37;0.504;0.705
11/06/2022 20:40;0.472;0.289
11/06/2022 20:40;0.965;0.74
11/06/2022 20:40;0.245;0.427
11/06/2022 20:43;0.663;0.64
11/06/2022 20:45;0.774;0.741
11/06/2022 20:48;0.942;0.508
11/06/2022 20:51;0.874;0.858
11/06/2022 20:54;0.773;0.606
11/06/2022 23:29;0.888;0.636
11/06/2022 23:29;0.888;0.636
11/06/2022 23:31;0.888;0.636
11/06/2022 23:31;0.611;0.835
11/06/2022 23:33;0.663;0.64
11/06/2022 23:36;0.774;0.741
11/06/2022 23:38;0.942;0.508
11/06/2022 23:41;0.874;0.858
11/06/2022 23:44;0.773;0.606
11/06/2022 23:47;0.728;0.699
11/06/2022 23:49;0.628;0.627
11/06/2022 23:52;0.86;0.582
11/06/2022 23:54;0.925;0.773
12/06/2022 0:00;0.86;0.582
12/06/2022 0:03;0.111;0.374
12/06/2022 0:08;0.897;0.586
12/06/2022 0:10;0.969;0.534
12/06/2022 0:14;0.641;0.7
12/06/2022 0:17;0.774;0.741
12/06/2022 1:07;0.898;0.684
12/06/2022 3:20;0.898;0.684
12/06/2022 3:23;0.85;0.722
12/06/2022 3:28;0.354;0.54
12/06/2022 3:31;0.872;0.48
12/06/2022 3:37;0.746;0.729
12/06/2022 3:41;0.663;0.618
12/06/2022 3:45;0.931;0.723
12/06/2022 3:48;0.778;0.523
12/06/2022 3:51;0.652;0.553
12/06/2022 3:55;0.672;0.763
12/06/2022 3:58;0.872;0.655
12/06/2022 4:01;0.63;0.699
12/06/2022 4:05;0.567;0.48
12/06/2022 4:09;0.819;0.354
12/06/2022 4:09;0.813;0.606
12/06/2022 4:09;0.943;0.778
12/06/2022 4:11;0.36;0.411
12/06/2022 4:11;0.902;0.654
12/06/2022 4:11;0.968;0.734
12/06/2022 4:12;0.663;0.64
12/06/2022 4:13;0.971;0.631
12/06/2022 4:15;0.962;0.526
12/06/2022 4:18;0.912;0.773
12/06/2022 4:25;0.931;0.723
12/06/2022 4:25;0.618;0.478
12/06/2022 4:29;0.971;0.631
